,sub_name,fiber,exp_name,dataset_name,Reconstruction accuracy (r)
102,124826,AF,HCP1200,HCP,0.8780376994527168
103,125222,AF,HCP1200,HCP,0.8779907067569817
104,125424,AF,HCP1200,HCP,0.8537232518655063
105,125525,AF,HCP1200,HCP,0.8550768812025498
106,126325,AF,HCP1200,HCP,0.8468355717706268
107,126426,AF,HCP1200,HCP,0.8647084271050658
108,126628,AF,HCP1200,HCP,0.8779232921363904
109,127226,AF,HCP1200,HCP,0.8056639955569488
110,127327,AF,HCP1200,HCP,0.8549248213081917
111,127630,AF,HCP1200,HCP,0.8864882065994789
112,127731,AF,HCP1200,HCP,0.8429755520710697
113,127832,AF,HCP1200,HCP,0.8515511114381659
114,127933,AF,HCP1200,HCP,0.8609457360590388
115,128026,AF,HCP1200,HCP,0.8553897391268221
116,128127,AF,HCP1200,HCP,0.8710625123182626
117,128632,AF,HCP1200,HCP,0.867363972097483
118,128935,AF,HCP1200,HCP,0.8655967388831517
119,129028,AF,HCP1200,HCP,0.863327105234991
120,129129,AF,HCP1200,HCP,0.8515976149169366
121,129331,AF,HCP1200,HCP,0.8786278337876544
122,129634,AF,HCP1200,HCP,0.8732949157290718
123,130013,AF,HCP1200,HCP,0.8666917354315077
124,130114,AF,HCP1200,HCP,0.8197772448888361
125,130316,AF,HCP1200,HCP,0.8752957873027558
126,130417,AF,HCP1200,HCP,0.8814657825447615
127,130518,AF,HCP1200,HCP,0.8878709742132073
128,130619,AF,HCP1200,HCP,0.8662094923178782
129,130720,AF,HCP1200,HCP,0.8694479587470421
130,130821,AF,HCP1200,HCP,0.881363573914483
131,130922,AF,HCP1200,HCP,0.8585858205703317
132,131217,AF,HCP1200,HCP,0.8531104803420636
133,131419,AF,HCP1200,HCP,0.880560754673589
134,131722,AF,HCP1200,HCP,0.8589232638610489
135,131823,AF,HCP1200,HCP,0.8674718581723838
136,131924,AF,HCP1200,HCP,0.8650887428009802
137,132017,AF,HCP1200,HCP,0.8051524855441384
138,133019,AF,HCP1200,HCP,0.8065860749174126
139,133625,AF,HCP1200,HCP,0.8442769070386046
140,133827,AF,HCP1200,HCP,0.860313345309425
141,133928,AF,HCP1200,HCP,0.8730858442350046
142,134021,AF,HCP1200,HCP,0.8526342466180392
143,134223,AF,HCP1200,HCP,0.8720857282941784
144,134324,AF,HCP1200,HCP,0.8730272984060071
145,134425,AF,HCP1200,HCP,0.8713909960602889
146,134728,AF,HCP1200,HCP,0.8885380536726917
147,134829,AF,HCP1200,HCP,0.8042544241585287
148,135124,AF,HCP1200,HCP,0.8837404041907119
149,135225,AF,HCP1200,HCP,0.8539723417131075
150,135528,AF,HCP1200,HCP,0.8500910781104069
151,135629,AF,HCP1200,HCP,0.84962104363135
152,135730,AF,HCP1200,HCP,0.8858696332756791
153,135932,AF,HCP1200,HCP,0.8720297291156967
154,136126,AF,HCP1200,HCP,0.8644815272346345
155,136227,AF,HCP1200,HCP,0.8551809043177263
156,136631,AF,HCP1200,HCP,0.8732183768049582
157,136732,AF,HCP1200,HCP,0.8342576133252724
158,136833,AF,HCP1200,HCP,0.8529116487820516
159,137027,AF,HCP1200,HCP,0.8847425960223061
160,137128,AF,HCP1200,HCP,0.8196376240773591
161,137229,AF,HCP1200,HCP,0.8758876063095351
162,137532,AF,HCP1200,HCP,0.8407594799719402
163,137633,AF,HCP1200,HCP,0.8686214013398503
164,137936,AF,HCP1200,HCP,0.8565506470704448
165,138130,AF,HCP1200,HCP,0.8610308034634752
166,138231,AF,HCP1200,HCP,0.8661303166684677
167,138332,AF,HCP1200,HCP,0.8780105386157836
168,138534,AF,HCP1200,HCP,0.8794286838728566
169,138837,AF,HCP1200,HCP,0.8673957914028875
