,AF,ATR,CG,CST,MLF,FPT,IFO,ILF,OR,POPT,SLF_I,SLF_II,SLF_III,STR,UF,T_PREF,T_PREM,T_PREC,T_POSTC,T_PAR,T_OCC,ST_FO,ST_PREF,ST_PREM,ST_PREC,ST_POSTC,ST_PAR,ST_OCC,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.3129015545049296,0.03512161998876798,0.136539673945519,0.10619629154606855,0.06902816638554894,0.03230449955612892,0.051392003654003086,0.07833645896016785,-0.0010654002528737994,0.2389122678077017,0.33767793095636445,0.09427904745167132,0.1299525805810723,0.2573616222311121,0.28183550997471046,-0.002073341757260828,-0.0013890866606935343,0.07506712081559372,0.13911435226661412,0.17561701046353886,-0.0008773536103858753,0.11132715194825069,0.00543797393538033,0.001298615054696552,-0.003742600817221483,0.010412199761135601,0.06748330432819012,0.002239075252289512,0.21515576075788662,0.0432604164256463,0.0006949345228334208,0.014259999333715925,0.15144804732029205,0.32194264188878563,0.002205830968759147,0.021023732417848162
3,0.059915419251267706,0.06426920731700758,0.08940327293888585,0.16741216442179052,0.059662967187190115,0.005560794731460106,0.37140892167417766,0.03674505626588462,0.13582769485764395,0.04852722574337154,0.03377661212875282,0.014936062636801728,0.2310590424950791,0.05337205507616243,0.03177589504599483,0.046496505612387024,0.010486469658984577,0.1982016939311049,0.2759175255737977,0.03528285750461902,0.14779278588560768,0.1336310618990608,0.07134418914941378,0.024835705122716333,0.2898764271614246,0.3971918575732043,0.10856073694155516,0.13248940962660247,0.0025580847439051597,0.16692788524387506,0.05862678466169928,0.017350774319331127,0.09123440000004485,0.08640549882891481,0.008920580154712832,0.20176536018235075
4,-0.0010787084892428867,0.00249670955021289,0.1907581746623726,-0.00026481751147647834,-0.005235619049379992,0.15248757883571198,0.023420610523699502,0.061364186619761965,0.013187822347162734,0.08229458103536091,0.003959797354374452,0.06655653395593195,0.1692695163329641,0.034436189119171935,0.0019184024285034706,0.042040702410602,0.001639000076367632,0.0037050897140922206,0.057951721224580345,0.16025237874643303,0.012562491353772253,0.029452056283962635,0.016813652889352538,0.004047757552181176,0.036539201974301785,0.09206877219905751,0.23136705407964564,5.719831711012979e-05,0.11989109988925593,0.0013272464598446032,0.08082964429102317,0.02837661486904982,0.025532582776883486,0.010270856424357166,0.0006412840232604044,0.006331295328338457
5,0.0029967881017401066,0.0075214791158356616,0.04587551212642938,0.05615478694249394,0.03292090818136169,0.045318861860243184,0.035154049673074034,0.035897468371512614,0.06360269642892645,0.057605049763319253,0.004948467460086988,0.0743521542898981,0.008652762361791888,0.03027373886245653,0.09340764571090132,0.04535679901496596,0.20693202486433873,0.07328087314072185,-0.001328220785653016,0.06033428912935043,0.06728574601103929,0.07215204128775742,0.013972990450093621,0.18855339462897247,0.04940865831852575,-0.0006203638031238901,0.043020288176595305,0.06350995159042166,0.007131757684936176,0.08875700565335493,0.01731183111285151,0.19094610933133593,0.02355741229686595,0.05285462082660465,0.10968010691270064,0.04704702518166831
6,0.04563354771622482,0.0009636465793864324,0.0016290065527416909,0.050018732044576186,0.16997219916740045,0.07646607506000178,0.015250829938113006,0.007078981547051807,-0.00330129925876008,-0.002588308187210915,0.00527240897364067,0.12296371534490091,-0.0024454743200937133,0.011412879146379012,0.04073898682894681,0.034875021795124875,0.025450098971988737,0.06266148889150433,0.017971292115902555,0.029750423090156762,-0.005852324678106294,0.008390173084758852,0.024885897273517463,0.041594330785392604,0.062106414121069896,0.019325049768942684,0.0378958777726103,-0.009776062378823738,0.03488788810735052,0.004036155315514738,0.09253984680016104,0.003446178154802191,0.02742367240075197,0.011411186630357536,0.012833466612893625,0.02177740117004345
7,0.007346407941675471,0.0006211025490762056,0.03964606333955503,0.050808207729948957,-0.0034695956058416167,0.012782160170160818,0.003528357789912235,0.014166901059644861,0.01247411398316634,0.03775095684861508,0.013337437378291342,0.016587698118594264,0.012332172509651285,0.010628608789304446,0.003185762514969269,0.008273511893188307,0.012390739973474528,0.024583020283355836,0.07312458745801437,0.025368358605349247,0.012270336501916732,0.018806955940687736,0.004495575318874825,0.029316476567618835,0.0031629345616945403,0.0010335131869431103,-0.0016918448019700182,0.008088743886360435,0.020532075251337146,0.042979793914649636,0.007903106296290912,0.015752714582228156,0.008129074453524884,0.01357483233468901,0.06647881182744401,0.015514769571523219
8,0.0069753424928425374,0.06250423954831183,0.0003468906736235422,0.026641666879721502,0.004106944282098905,0.0034839353376403415,0.027956465266028182,0.015445528064428614,0.015243424561458932,0.07071020661909119,0.022490014229716443,0.07893278487041372,-0.0006915555934050422,0.07101777444497993,0.0061117723250474956,0.04379750034920761,0.018019925568853633,0.024403246885871355,-0.0009273980990976882,0.09331478139049962,0.015490767435389028,0.021760834789570492,0.032665278455039,0.00875530629889361,0.028794300564407075,0.006600659304590275,0.059752839056723746,0.01851433969687644,0.029614812216596377,0.02366338302575489,0.028825107587928354,0.0048385205698956045,0.06487265029295085,0.04295615700421612,0.019747441371439377,0.001958715498785003
9,0.0006752049850998487,0.013522422223445978,0.0815861669636096,0.046801794074592104,-0.00433847076472786,0.00011956268404588411,0.018202262282981403,0.0018982369110217222,0.07993030850309794,-0.001598940239729716,0.007339714721987435,-0.0019206963166899771,0.08049127770684018,0.021763906535831407,0.05769079626082434,0.007653319869792504,0.001762622232476475,0.02964670652066702,-0.0014442114298780172,0.0038486537068051583,0.07252988738753147,0.004467479059132198,0.007504190275752331,0.000532164899923282,0.0015409508966574826,0.003409657079513032,0.015376460549992645,0.04941652319253687,0.021873738680651355,0.0033493850952192837,0.015435146716839963,0.0033534550026434783,0.04328274398045554,-0.00010923475131789817,0.0019520241906353937,0.013926260058615436
10,0.14975232119335907,0.17951046747508947,0.06520594749999142,0.029384115112287876,0.08620428820395581,0.06869458212633703,0.06751346235797734,0.03991297232885896,0.04161679622223602,0.034491343632188226,0.09461980875442474,0.1773958428461134,0.010454882045399447,0.07611917818761987,0.0554859137512433,0.06051644751988766,0.1017276029801023,0.03945882569960038,0.14285727633871445,0.025125077372497875,0.03524687376185413,0.005344568467294593,0.0703521186010786,0.08233525527725963,0.054217850118957085,0.14287067538442833,0.03854678460385135,0.020936289783277814,0.05119932389582991,0.10803355266069453,0.050805973169138596,0.0824926410732978,0.03758887310135778,0.0797499174610778,0.17055821090594908,0.039824031890425306
