,AF,ATR,CG,CST,MLF,FPT,IFO,ILF,OR,POPT,SLF_I,SLF_II,SLF_III,STR,UF,T_PREF,T_PREM,T_PREC,T_POSTC,T_PAR,T_OCC,ST_FO,ST_PREF,ST_PREM,ST_PREC,ST_POSTC,ST_PAR,ST_OCC,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.21178762877651597,0.47498554433578166,0.13631602093715833,0.18884398071680036,0.4100016501803949,0.36994384704744204,0.2006790260977296,0.5084792277754544,0.501186835161073,0.13602949325948493,0.09430289737040493,0.05287264659544096,0.0610920789585,0.094695771761994,0.18972293473895188,0.5370863662410857,0.35512940960145634,0.21987954670447413,0.08131362844315396,0.24338571258111738,0.517433388292934,0.43510188935066785,0.5871534183060949,0.35345681711634724,0.20752414646185624,0.09084949585735445,0.23053429762122327,0.5890856085900527,0.18736967284180342,0.35331082610877557,0.4264832898886993,0.3406479765131774,0.2034591385071513,0.08589554748870391,0.26910756178276357,0.454823545664783
3,0.5246891832814455,0.5101071643245497,0.2728556948826773,0.2950402722628689,0.4790298165659435,0.40224834660357106,0.2520710297517327,0.5868156867356223,0.5001214349081993,0.37494176106718646,0.43198082832676943,0.14715169404711226,0.19104465953957223,0.3520573939931061,0.4715584447136624,0.5350130244838249,0.3537403229407628,0.29494666752006793,0.22042798070976802,0.41900272304465597,0.516556034682548,0.5464290412989183,0.5925913922414755,0.3547554321710436,0.20378154564463483,0.10126169561849004,0.2980176019494135,0.5913246838423423,0.4025254335996899,0.3965712425344218,0.4271782244115327,0.35490797584689354,0.3549071858274433,0.4078381893774896,0.27131339275152266,0.47584727808263133
4,0.5846046025327131,0.5743763716415574,0.3622589678215632,0.46245243668465946,0.5386927837531336,0.4078091413350311,0.6234799514259105,0.6235607430015065,0.6359491297658432,0.4234689868105579,0.46575744045552236,0.16208775668391392,0.42210370203465175,0.40542944906926837,0.5033343397596574,0.5815095300962119,0.3642267925997473,0.4931483614511727,0.4963455062835657,0.4542855805492752,0.6643488205681557,0.6800601031979794,0.6639355813908892,0.3795911372937601,0.49365797280605933,0.49845355319169454,0.4065783388909688,0.7238140934689448,0.405083518343595,0.5634991277782969,0.4858050090732317,0.37225875016622473,0.446141585827488,0.49424368820640424,0.2802339729062356,0.677612638264982
5,0.5835258940434704,0.5768730811917703,0.5530171424839359,0.462187619173183,0.5334571647037538,0.5602967201707431,0.6469005619496102,0.6849249296212686,0.6491369521130061,0.505763567845919,0.46971723780989705,0.22864429063984598,0.5913732183676157,0.4398656381884405,0.5052527421881609,0.6235502325068139,0.36586579267611485,0.49685345116526514,0.5542972275081459,0.6145379592957084,0.6769113119219279,0.709512159481942,0.6807492342802418,0.3836388948459413,0.5301971747803611,0.5905223253907519,0.6379453929706144,0.723871291786055,0.5249746182328513,0.5648263742381416,0.5666346533642551,0.4006353650352745,0.47167416860437134,0.5045145446307615,0.280875256929496,0.6839439335933207
6,0.5865226821452103,0.5843945603076061,0.5988926546103649,0.5183424061156771,0.5663780728851155,0.6056155820309863,0.6820546116226841,0.7208223979927815,0.7127396485419323,0.5633686176092387,0.47466570526998403,0.3029964449297441,0.6000259807294075,0.4701393770508968,0.5986603878990617,0.6689070315217798,0.572797817540454,0.570134324305987,0.552969006722493,0.6748722484250588,0.7441970579329671,0.781664200769699,0.6947222247303353,0.5721922894749139,0.5796058330988868,0.589901961587628,0.6809656811472096,0.7873812433764766,0.5321063759177873,0.6535833798914965,0.5839464844771067,0.5915814743666103,0.4952315809012374,0.557369165457366,0.3905553638421965,0.7309909587749889
7,0.6321562298614353,0.5853582068869925,0.600521661163107,0.5683611381602534,0.736350272052516,0.6820816570909881,0.6973054415607968,0.7279013795398335,0.7094383492831724,0.5607803094220273,0.4799381142436243,0.42596016027464506,0.5975805064093143,0.48155225619727604,0.6393993747280089,0.7037820533169051,0.5982479165124426,0.632795813197491,0.5709402988383957,0.7046226715152154,0.7383447332548607,0.790054373854458,0.7196081220038526,0.6137866202603065,0.6417122472199567,0.609227011356571,0.7188615589198197,0.7776051809976526,0.5669942640251378,0.6576195352070111,0.6764863312772679,0.5950276525214127,0.5226552533019895,0.5687803520877236,0.40338883045509044,0.7527683599450328
8,0.6395026378031108,0.5859793094360687,0.6401677245026619,0.6191693458902023,0.7328806764466742,0.694863817261149,0.7008337993507091,0.742068280599478,0.7219124632663387,0.5985312662706423,0.4932755516219157,0.44254785839323924,0.6099126789189652,0.4921808649865805,0.6425851372429778,0.7120555652100924,0.6106386564859168,0.657378833480847,0.64406488629641,0.7299910301205645,0.7506150697567775,0.8088613297951461,0.7241036973227278,0.6431030968279252,0.6448751817816515,0.6102605245435139,0.7171697141178497,0.7856939248840132,0.5875263392764748,0.7005993291216606,0.6843894375735584,0.6107803671036407,0.5307843277555144,0.582355184422413,0.4698676422825342,0.7682831295165558
9,0.6464779802959534,0.6484835489843804,0.6405146151762854,0.6458110127699238,0.736987620728773,0.6983477525987888,0.7287902646167373,0.7575138086639064,0.7371558878277975,0.6692414728897336,0.5157655658516322,0.5214806432636527,0.6092211233255601,0.5631986394315601,0.6486969095680253,0.7558530655593007,0.6286585820547705,0.6817820803667182,0.6431374881973124,0.823305811511064,0.7661058371921665,0.8306221645847165,0.7567689757777666,0.6518584031268188,0.6736694823460584,0.6168611838481041,0.7769225531745738,0.8042082645808897,0.6171411514930716,0.7242627121474157,0.7132145451614872,0.6156188876735366,0.5956569780484653,0.6253113414266287,0.48961508365397366,0.7702418450153405
10,0.6471531852810528,0.6620059712078266,0.7221007821398951,0.6926128068445153,0.7326491499640453,0.698467315282835,0.7469925268997192,0.7594120455749285,0.8170861963308954,0.667642532650004,0.5231052805736196,0.5195599469469631,0.6897124010324006,0.5849625459673916,0.70638770582885,0.7635063854290931,0.6304212042872469,0.7114287868873855,0.6416932767674344,0.8271544652178694,0.8386357245796974,0.8350896436438482,0.764273166053519,0.6523905680267422,0.6752104332427163,0.6202708409276172,0.7922990137245668,0.8536247877734264,0.6390148901737224,0.7276120972426352,0.728649691878327,0.6189723426761797,0.6389397220289207,0.6252021066753108,0.49156710784460905,0.7841681050739561
