,corr,exp,surid
0,0.2349571779618144,Breakspear,0
1,-0.1228386581301579,Brainsmash,0
2,0.03600575276461002,Breakspear,1
3,-0.18412050565685772,Brainsmash,1
4,-0.15580452283589927,Breakspear,2
5,0.05045069408581435,Brainsmash,2
6,-0.1393769353851554,Breakspear,3
7,0.08303750966189895,Brainsmash,3
8,-0.13665590129632568,Breakspear,4
9,0.032408068577807925,Brainsmash,4
10,-0.08920664127163666,Breakspear,5
11,0.04147928418964832,Brainsmash,5
12,-0.16375711882862057,Breakspear,6
13,-0.02671597094634611,Brainsmash,6
14,0.17080953670413707,Breakspear,7
15,0.0024261561463084723,Brainsmash,7
16,0.12148491103430796,Breakspear,8
17,-0.08415417895764594,Brainsmash,8
18,0.3146608892859797,Breakspear,9
19,-0.08648807284984789,Brainsmash,9
20,-0.15558021375164988,Breakspear,10
21,0.08690474078648835,Brainsmash,10
22,-0.07418250566183207,Breakspear,11
23,0.09722108670164713,Brainsmash,11
24,0.03550202952032655,Breakspear,12
25,0.051932232023872635,Brainsmash,12
26,0.7179014825343553,Breakspear,13
27,0.014863829429643705,Brainsmash,13
28,0.164438558630227,Breakspear,14
29,0.17665278637532744,Brainsmash,14
30,-0.004777516875292215,Breakspear,15
31,0.06719423481528287,Brainsmash,15
32,0.1627623334230881,Breakspear,16
33,0.06573806708739174,Brainsmash,16
34,0.1053355194857673,Breakspear,17
35,-0.027919341699618818,Brainsmash,17
36,0.1249802908985366,Breakspear,18
37,-0.028896087208578954,Brainsmash,18
38,0.1933888466100013,Breakspear,19
39,-0.05622387433163122,Brainsmash,19
40,0.122005783204745,Breakspear,20
41,-0.08541237049289294,Brainsmash,20
42,0.387666774714364,Breakspear,21
43,0.009671371347769738,Brainsmash,21
44,-0.01673338081481069,Breakspear,22
45,-0.014072697266879836,Brainsmash,22
46,-0.01747970434524947,Breakspear,23
47,-0.07902732923985444,Brainsmash,23
48,-0.07298974760307868,Breakspear,24
49,-0.01779885582304842,Brainsmash,24
50,-0.06586477544036505,Breakspear,25
51,0.11706679253836853,Brainsmash,25
52,0.3965387140073374,Breakspear,26
53,-0.031276993974516096,Brainsmash,26
54,0.00025571870237146903,Breakspear,27
55,-0.13824154479842657,Brainsmash,27
56,0.21359821819313698,Breakspear,28
57,-0.09749049018998578,Brainsmash,28
58,0.04111803325238663,Breakspear,29
59,-0.005394455749559408,Brainsmash,29
60,-0.08263236424837932,Breakspear,30
61,-0.03643533601058951,Brainsmash,30
62,-0.11810843153692056,Breakspear,31
63,0.11438093723031877,Brainsmash,31
64,0.05611283315546452,Breakspear,32
65,-0.09407793203358134,Brainsmash,32
66,0.42975287159419046,Breakspear,33
67,0.03939852438528992,Brainsmash,33
68,-0.10418410057480461,Breakspear,34
69,0.03671514143059806,Brainsmash,34
70,0.4592516308067515,Breakspear,35
71,0.0657299297290746,Brainsmash,35
72,0.07652318825740884,Breakspear,36
73,0.030185802617861135,Brainsmash,36
74,0.06466927831745545,Breakspear,37
75,-0.015033468879165592,Brainsmash,37
76,-0.07224108780996252,Breakspear,38
77,-0.008084803069839061,Brainsmash,38
78,-0.1234944016109148,Breakspear,39
79,-0.024229267454334256,Brainsmash,39
80,-0.1321091436994242,Breakspear,40
81,-0.028387319625693908,Brainsmash,40
82,-0.1425155107462246,Breakspear,41
83,0.0247519237933131,Brainsmash,41
84,0.04158533944920419,Breakspear,42
85,-0.11335734077738974,Brainsmash,42
86,-0.12835944671001617,Breakspear,43
87,0.050536188421726295,Brainsmash,43
88,0.051786954535751877,Breakspear,44
89,-0.004627027102707811,Brainsmash,44
90,-0.1630377696422496,Breakspear,45
91,0.03653256225790716,Brainsmash,45
92,-0.07561226089454291,Breakspear,46
93,0.024191128534330038,Brainsmash,46
94,-0.06048114350813013,Breakspear,47
95,-0.0208564164534175,Brainsmash,47
96,-0.11827102622795405,Breakspear,48
97,0.12150876490082302,Brainsmash,48
98,-0.07921169556595546,Breakspear,49
99,0.028923368552849302,Brainsmash,49
100,0.23719824213969373,Breakspear,50
101,0.10015390250495285,Brainsmash,50
102,0.030426339714275743,Breakspear,51
103,0.014583405372333793,Brainsmash,51
104,0.07299379792671705,Breakspear,52
105,-0.08784226974739413,Brainsmash,52
106,-0.1160192366959133,Breakspear,53
107,-0.02203158748084979,Brainsmash,53
108,-0.0950895249213848,Breakspear,54
109,-0.11740569583491431,Brainsmash,54
110,-0.0718287272682833,Breakspear,55
111,0.0014992836456372734,Brainsmash,55
112,-0.14847110522936402,Breakspear,56
113,0.012978144688236394,Brainsmash,56
114,0.4579762654175872,Breakspear,57
115,0.019155768861373764,Brainsmash,57
116,0.22882906965597216,Breakspear,58
117,0.03491700042290777,Brainsmash,58
118,-0.036007387372715055,Breakspear,59
119,-0.012919574726392057,Brainsmash,59
120,0.11525730943317872,Breakspear,60
121,-0.001608757452434644,Brainsmash,60
