"Age","SmoothedValue","ModeName"
8,65.1346560396434,"Mode1"
8.13131313131313,65.1430193922645,"Mode1"
8.26262626262626,65.1522833974037,"Mode1"
8.39393939393939,65.163348707579,"Mode1"
8.52525252525253,65.1771159753085,"Mode1"
8.65656565656566,65.1944858531102,"Mode1"
8.78787878787879,65.2163589935023,"Mode1"
8.91919191919192,65.2436360490026,"Mode1"
9.05050505050505,65.2772017173383,"Mode1"
9.18181818181818,65.3172601286693,"Mode1"
9.31313131313131,65.3630947578923,"Mode1"
9.44444444444444,65.4139237290802,"Mode1"
9.57575757575758,65.4689651663057,"Mode1"
9.70707070707071,65.5274371936415,"Mode1"
9.83838383838384,65.5885579351605,"Mode1"
9.96969696969697,65.6515455149353,"Mode1"
10.1010101010101,65.7156299391404,"Mode1"
10.2323232323232,65.7801382550747,"Mode1"
10.3636363636364,65.8444448958584,"Mode1"
10.4949494949495,65.9079246154288,"Mode1"
10.6262626262626,65.969952167723,"Mode1"
10.7575757575758,66.029902306678,"Mode1"
10.8888888888889,66.0871497862309,"Mode1"
11.020202020202,66.1410702038017,"Mode1"
11.1515151515152,66.191391627153,"Mode1"
11.2828282828283,66.2387383244412,"Mode1"
11.4141414141414,66.2838748982607,"Mode1"
11.5454545454545,66.3275659512057,"Mode1"
11.6767676767677,66.3705760858707,"Mode1"
11.8080808080808,66.4136699048499,"Mode1"
11.9393939393939,66.4576120107377,"Mode1"
12.0707070707071,66.5031647884193,"Mode1"
12.2020202020202,66.5510477686208,"Mode1"
12.3333333333333,66.6019417206495,"Mode1"
12.4646464646465,66.656526017238,"Mode1"
12.5959595959596,66.7154800311187,"Mode1"
12.7272727272727,66.7794831350241,"Mode1"
12.8585858585859,66.8492147016867,"Mode1"
12.989898989899,66.925354103839,"Mode1"
13.1212121212121,67.0085086308831,"Mode1"
13.2525252525253,67.0989221103826,"Mode1"
13.3838383838384,67.1967240711019,"Mode1"
13.5151515151515,67.3020440000905,"Mode1"
13.6464646464646,67.4150113843977,"Mode1"
13.7777777777778,67.5357557110731,"Mode1"
13.9090909090909,67.6644064671662,"Mode1"
14.040404040404,67.801090780538,"Mode1"
14.1717171717172,67.9457641112289,"Mode1"
14.3030303030303,68.0980968998274,"Mode1"
14.4343434343434,68.2577327142912,"Mode1"
14.5656565656566,68.424315122578,"Mode1"
14.6969696969697,68.5974876926454,"Mode1"
14.8282828282828,68.7768939924513,"Mode1"
14.959595959596,68.9621775899533,"Mode1"
15.0909090909091,69.1529217584522,"Mode1"
15.2222222222222,69.3480702674244,"Mode1"
15.3535353535354,69.5461817118368,"Mode1"
15.4848484848485,69.7458093932982,"Mode1"
15.6161616161616,69.9455066134173,"Mode1"
15.7474747474747,70.1438266738027,"Mode1"
15.8787878787879,70.3393228760634,"Mode1"
16.010101010101,70.5305485264648,"Mode1"
16.1414141414141,70.7160696909447,"Mode1"
16.2727272727273,70.8944930102681,"Mode1"
16.4040404040404,71.0644331721754,"Mode1"
16.5353535353535,71.2245048644072,"Mode1"
16.6666666666667,71.3733227747042,"Mode1"
16.7979797979798,71.5095015908068,"Mode1"
16.9292929292929,71.6316560004557,"Mode1"
17.0606060606061,71.7384266782691,"Mode1"
