,varimax_satisf,varimax_cog,varimax_er,CAPE42,SDQ,ESPAD,AUDIT,ocdband,dcgena,depband,eatband,spphband,ptsdband
AF,0.8079756080223636,1.0287822126583128,0.31298490288152403,24.604270939469018,-0.42089291497030706,-12.259253376374204,7.261857609777881,-7.4636843413193725,-8.523815181853637,9.227844862144133,8.17917956981581,2.710094606237608,12.75593249467664
ATR,2.7944485079299994,-2.934329966027624,0.6713087898033989,3.1027934346193073,0.30491712129103876,2.9193542973892757,9.32864579275665,-6.030179859459721,-15.870008160215093,-7.0551112275396815,1.385669752786952,5.134011357738844,-4.732124625698127
CG,1.3953205330947531,0.8208683970385651,0.5741512533640701,-7.820666835024776,-3.148253112882481,-12.543212360686832,-5.158004064743527,-10.775479845420254,7.083364728172631,-11.897918016253554,-3.214020704807205,9.697560673636222,11.22173266558256
CST,0.35068499137458015,-2.724046967355681,-0.050463185680795344,-15.233014359612463,-18.434148234668132,1.5430239202816711,16.098494669552675,-29.18467083647399,2.6775151459788047,-5.05515361902976,5.507959861132835,0.7018191462557308,10.536596020583604
MLF,-0.3724732086784047,1.83969672461878,-0.4580433820413847,13.964026627527678,7.652602508765655,-3.192172194380085,3.0610775527804677,16.200592375893,5.400953140722655,10.775605066364545,1.9828427509251443,19.42938672844456,-23.634820696537737
FPT,-1.8637749681988083,-1.3681455352202199,-0.05520077705747227,-11.731308512682542,-17.853520496340472,9.933125168734527,16.50166594914586,0.785509109791219,12.288691166679337,12.286112040496622,-6.913225476485177,-6.093349739535983,-24.103756488601817
IFO,-1.202770404615225,0.7569980907656579,-0.0156839929736853,-12.169535657336706,7.742692477919917,12.697863032884847,-16.420763752578704,-11.29375190755361,11.806606495091765,-16.079386316713784,-4.003271315673338,-1.4530933736080747,-3.8666683897849294
ILF,0.6591047687629124,-1.1651516492737468,-0.8854090148988474,-17.453920475356448,-4.73363616164941,-0.5179667654646514,10.15486168190159,-0.9190228703657213,1.0720853056143373,4.6028559308550605,-12.454044812977695,7.230918746547979,0.16839679116404968
OR,-0.4834326732754839,1.0256325517277278,0.10390778156235525,9.444436079346245,-8.397529007208036,-6.820279308065202,1.7881519729202178,-12.04614967368776,-6.365655444247459,10.790814315845143,-30.950335578211032,-15.769043557001384,5.041954880057309
POPT,-1.9190520043029653,2.6002778148935675,-0.5861664944446597,-4.7702337182157715,4.698486275695443,-15.06698374566664,8.998357904593053,-27.279900648731395,-26.583456770425,7.414960985906294,17.55270068780117,-3.338403935606808,11.790514030796848
SLF_I,-2.7784650721666053,4.456915645438827,1.2771483156245158,-0.7043887540765716,18.65145185669944,0.9262345280675995,-16.7025106060731,-2.0883577328459055,-1.7676831710254106,4.337248787327519,6.930683371203006,-2.393498259496592,-5.0120513616980205
SLF_II,2.598947889174155,-0.0417214929773198,0.5271930399452381,6.573702160219029,11.620301446453833,17.05169473621105,-21.5157316526432,11.03088292174367,-5.506619483007523,6.560594154033058,8.681667152517068,18.39567826453714,-0.13851465367640253
SLF_III,-0.33376769033178966,2.8956577033344852,0.3881770828036085,-13.388141252475084,-7.39104673384986,-17.47429408287493,-4.8654344948438135,-5.801138385300213,25.897495157441522,-7.097785907204959,29.565079798646575,5.057493915990332,3.1806189265141867
STR,-2.1889881309931227,0.6603654729205465,0.8924395441206318,-3.2613687768936614,-6.929088335970656,4.048237761016395,25.573158132481055,0.2776406363352881,-21.09967227949008,-12.750376021338077,-11.794284428187504,-2.8374335191185915,16.12618360129214
UF,0.004268319257360209,0.14107484755689945,-0.5684413802030844,8.471258367932887,1.5990964953451783,-2.452449489758358,0.16717440955359963,1.9130146794055607,-4.358407581703075,-9.30958142350848,14.845077023840073,-14.287230744924631,15.486182634434243
T_PREF,1.232144549595584,-3.5716615222777754,0.44906185994769404,6.554905488552641,-8.889155624679473,24.03750965825258,10.808650370863537,4.2500952778286125,1.3862034664136798,5.915840066459565,-13.47815358761176,-6.044792894534424,-33.84567980306526
T_PREM,-3.356783296842525,-1.711230613386425,-0.020181680200358813,-14.154286801781113,-0.3583222352373182,-13.222126913503963,-5.391613325832333,12.18244056819017,-3.174317649028955,-6.372730538260381,12.671210908567108,12.876113994309543,-6.3707535161527336
T_PREC,0.9677208821595314,-2.987382081803607,0.06966414750532665,-12.602213576060029,3.358882159793513,-5.3649536799137465,-7.243927494905246,-12.83013952464228,-6.125473468506954,-15.135461664812311,13.059699578652364,12.635263162776708,2.7532329551115744
T_POSTC,1.4655306123101302,0.6867208673952921,-0.16094835319119877,15.412533882937097,10.155504371358766,23.42531816893913,-0.8092211894088946,-10.769424427529906,-15.747144066522207,11.20554178240214,-17.362346524470883,-1.8653779263786814,10.243098256168814
T_PAR,-2.0195048164602367,2.751107469663208,-0.13920007358341224,4.242186489055561,-1.6929068329741337,-4.510733912068192,-4.169078402816986,-4.735335775043277,3.763651564441412,-7.336866554647715,29.631849126661823,17.568597702972784,-17.29416994600269
T_OCC,-0.6652441620785721,1.0752742591345448,0.19295854661562237,0.4601743004172434,-4.27338831574176,-2.221975326449311,2.2614522901202667,-17.06619343680944,-9.761021544255378,5.699485981799875,-29.664250180535586,-18.656211326441223,-3.048226469733203
