,sub_name,fiber,exp_name,dataset_name,Reconstruction accuracy (r)
102,124826,AF,HCP1200,HCP,0.8663530447919485
103,125222,AF,HCP1200,HCP,0.8825333246439031
104,125424,AF,HCP1200,HCP,0.878687589248409
105,125525,AF,HCP1200,HCP,0.8915602651972031
106,126325,AF,HCP1200,HCP,0.8587032555707582
107,126426,AF,HCP1200,HCP,0.837945281060013
108,126628,AF,HCP1200,HCP,0.8954226800379044
109,127226,AF,HCP1200,HCP,0.8333338802266831
110,127327,AF,HCP1200,HCP,0.8806842399092948
111,127630,AF,HCP1200,HCP,0.8675450576128705
112,127731,AF,HCP1200,HCP,0.8861930433554355
113,127832,AF,HCP1200,HCP,0.8610603619998384
114,127933,AF,HCP1200,HCP,0.8340560608199444
115,128026,AF,HCP1200,HCP,0.8764197737993041
116,128127,AF,HCP1200,HCP,0.8663822128464783
117,128632,AF,HCP1200,HCP,0.8922849750959435
118,128935,AF,HCP1200,HCP,0.8753890996693382
119,129028,AF,HCP1200,HCP,0.8584363661144966
120,129129,AF,HCP1200,HCP,0.8392128612154407
121,129331,AF,HCP1200,HCP,0.8835656131199755
122,129634,AF,HCP1200,HCP,0.8621795877556196
123,130013,AF,HCP1200,HCP,0.8739047513415389
124,130114,AF,HCP1200,HCP,0.8425727298723094
125,130316,AF,HCP1200,HCP,0.8424164111814594
126,130417,AF,HCP1200,HCP,0.8855991108964322
127,130518,AF,HCP1200,HCP,0.8792292312576466
128,130619,AF,HCP1200,HCP,0.8923364612149802
129,130720,AF,HCP1200,HCP,0.8638286079360222
130,130821,AF,HCP1200,HCP,0.8927879302272049
131,130922,AF,HCP1200,HCP,0.8721272761899546
132,131217,AF,HCP1200,HCP,0.853220421492295
133,131419,AF,HCP1200,HCP,0.8819327576372369
134,131722,AF,HCP1200,HCP,0.8799575553614957
135,131823,AF,HCP1200,HCP,0.872934778015378
136,131924,AF,HCP1200,HCP,0.873337842360116
137,132017,AF,HCP1200,HCP,0.840799298630501
138,133019,AF,HCP1200,HCP,0.8849010096829503
139,133625,AF,HCP1200,HCP,0.8579084644112775
140,133827,AF,HCP1200,HCP,0.8641543158104594
141,133928,AF,HCP1200,HCP,0.8631662051672355
142,134021,AF,HCP1200,HCP,0.8635783398463838
143,134223,AF,HCP1200,HCP,0.8865229713675367
144,134324,AF,HCP1200,HCP,0.8653876343654409
145,134425,AF,HCP1200,HCP,0.8778048975959867
146,134728,AF,HCP1200,HCP,0.8841136375699352
147,134829,AF,HCP1200,HCP,0.8906295328214232
148,135124,AF,HCP1200,HCP,0.8788457130509771
149,135225,AF,HCP1200,HCP,0.8665800718283818
150,135528,AF,HCP1200,HCP,0.880098270491282
151,135629,AF,HCP1200,HCP,0.8411441206054394
152,135730,AF,HCP1200,HCP,0.8853621920332032
153,135932,AF,HCP1200,HCP,0.8773864599728253
154,136126,AF,HCP1200,HCP,0.8787433491839544
