,Age,AF,ATR,CG,CST,MLF,FPT,IFO,ILF,OR,POPT,SLF_I,SLF_II,SLF_III,STR,UF,T_PREF,T_PREM,T_PREC,T_POSTC,T_PAR,T_OCC,ST_FO,ST_PREF,ST_PREM,ST_PREC,ST_POSTC,ST_PAR,ST_OCC,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7
0,8.08333333333333,59.8209872158144,53.3600092936078,124.519034448864,44.4832165913392,72.3027509614261,41.1488870329993,52.5410197899088,104.831015665635,62.9634480894877,45.2174885583301,56.7551368830395,68.695595553798,71.6418138775838,62.671604444509,114.270756096809,41.2390193064149,49.5539435433341,47.8658800416401,56.9522975184792,39.9081057255811,60.2827182962547,75.0136838370347,40.7562384365716,60.413658627735,51.9175319407842,60.4131744581216,44.0713590033898,62.1083219046402,70.113445206853,92.6603186335657,26.8868803672334,49.912457542793,41.4660474441095,41.5041708048573,35.5273320810389,65.0198339982727
1,8.16666666666667,61.3410493448414,51.4989158050855,114.716322473578,48.0799333377459,73.843346319301,45.1330257856516,50.9300664394626,109.409063038719,69.0241970086761,49.1115027381762,61.2110491112448,70.8441264630512,76.1179636046783,60.1770211740682,105.875476693933,41.6412553106848,50.715898342243,50.0916734654773,62.673353686308,41.8319699073293,65.3518668440431,70.1716883561292,42.7069636829676,66.1975961823767,53.4150760551499,63.8546589533303,44.3575382317332,63.2867436099643,63.287051722785,81.5945458492587,23.4113085592279,50.9259095692075,46.4327040663274,42.7142947095344,35.7957604924183,68.8832961540224
2,8.25,87.1635829214622,59.8749059702476,164.337992821194,50.1850775967055,91.0242947608078,46.3400579365353,62.0479383548635,127.964899563897,70.4220196952489,55.0316518494461,68.1921783822617,75.7576055186807,89.772730042386,61.1009583562862,127.897010808852,46.9850949315282,56.9606192739571,48.8921052906473,64.2669135245755,46.3056912231074,66.4642140158438,78.3717050111226,46.4654255175601,73.1664880466768,56.2517009027529,70.3421423807999,49.7906263284625,65.4740707897542,73.2215158196972,108.49262748625,29.8535052172995,53.9929675672362,44.9702749134507,48.9905287801322,42.9647891569823,69.19523021615
3,8.33333333333333,65.2753083739508,56.520286019319,125.965325127267,46.078716240603,82.2426895266433,41.5665840279445,54.3105638000578,111.792828489927,66.3647769523532,47.7945930792247,59.0386512418447,77.1499399122722,84.3132661422215,60.5088958627083,116.551962707316,43.099185525051,52.3532143236457,46.6238841617241,58.2169690151357,43.3673970659199,62.8407810384786,78.6364653688346,40.9428474975875,66.9697873822641,52.611004445903,63.4357530008953,47.8920938859958,63.6040735266975,74.1106734946067,96.0331537674689,26.1502537314008,50.6956992531324,41.5138896417675,42.5710762351595,37.2124662234708,60.8761702875056
4,8.5,64.4151004817591,58.1972651563194,138.175612891492,45.7994019283557,76.0653231354236,43.3372283840162,53.538721919462,116.046444883904,65.3974136574393,50.4671737737048,59.9891826908436,70.8020713171782,81.3382341952459,58.8320009574461,122.351356808722,45.4863040516323,50.1880204721565,47.0149296115873,58.3177814694986,42.8973510899837,62.1447930381533,80.0140781481336,42.7352131966717,63.7363910011271,50.9766891368919,61.3393261328546,46.3867115362167,64.8265073656319,77.071608635247,97.6041549926282,25.4899757008928,49.6470065417672,42.6160872465357,40.7714393597459,36.5336019523984,57.9705428341679
5,8.58333333333333,62.3161029178643,58.7826698548247,150.833581585164,50.7559690140838,73.9861201331177,45.590486968749,56.1071198489368,125.270475958696,59.9254533453595,46.9667194914372,68.7791172036509,77.2108215469479,73.4613755281315,58.16216549699,109.951572449971,49.1553376057844,57.5257199254821,52.9635009974915,59.4951977887507,43.9826246725531,58.3303836851284,79.3970203385906,46.945953994484,69.0204610522277,55.0257390876616,60.6308568933177,44.778188326835,61.4677477956493,78.0239191334187,90.9774147302195,29.7008395193953,53.2933867458451,45.8529648901583,42.9220234306257,37.4473876936114,61.321522980976
6,8.66666666666667,70.1266139297321,57.5725480628865,137.701362148953,47.6775248373211,82.0655421213157,41.7932381771068,55.4216438009833,118.586235369109,65.263950821966,50.2204948774453,56.2985687657517,72.5957952770528,80.32810554655,63.5051350332352,118.661381182634,45.4657438854166,52.4770687546405,48.8346962003079,60.5812463990749,43.5818582802607,62.5304795858145,76.3246821106198,43.4417201367345,65.7454477834313,54.0271396199127,63.4698406500883,46.5396831255511,63.769729657682,66.8075208578296,94.0898944021389,28.9051332003126,54.618961611446,42.5717306735796,42.4645068189004,37.36034951655,68.0527741604583
7,8.75,63.7075287373993,51.7624478376111,129.415823499554,47.1324371865263,74.3675539003141,41.0568860681939,55.1572976606485,110.490134710611,64.1579378597279,48.6212354312948,58.389445281084,70.7054033386328,84.5842402021598,62.3241209973227,109.94302011518,40.7658630171639,50.9431470359636,48.5233758286183,58.5373696291861,44.1308071101213,60.9464555453739,76.3371500485335,39.3970277195114,61.8286966661914,53.7103416158274,64.5345416777409,47.7085227737493,64.7449475866042,65.5150241843262,91.3269065837967,27.1483872542113,51.2209415709805,41.1557579779409,44.8253196289632,38.2695484524852,57.1070394775386
8,8.83333333333333,63.4813638770224,57.294081947328,143.062901629524,44.2875513874668,74.7642162401245,41.3514819993,53.7785841868765,114.438387239296,67.9372413240696,48.4360006439983,57.0605237058257,71.6174401293823,78.1224866451099,60.2474192312775,105.913331334292,42.8967202914696,51.4932480924923,46.8244970369239,57.0251413477217,44.4908880136814,64.3906272209679,75.327671484457,41.5109849505659,62.6924197246833,53.7020216830949,64.8203797721159,47.9759065584244,63.7730872468136,71.0954992754487,88.8005813109118,29.392522216552,52.5679551423217,41.0422484483859,40.9840861984476,37.1274947545949,66.1366546087582
9,8.91666666666667,58.3120720318382,51.7039549776491,119.576064346084,46.694668963674,68.6435896924375,38.7561041277484,53.635961270566,107.249542325083,68.8505110626834,44.5907877111987,51.0514822176695,69.8210269571557,78.2052302263571,61.1522531263958,112.568131821263,40.7988908761334,47.5265825068023,47.5088027437446,59.156477941567,39.9156363988315,65.4814717206216,73.0519473656486,39.225095291274,58.9640934471022,51.4509226614407,61.6283303562376,43.5928381869026,64.3292516766947,65.8663423825027,93.3088551556102,25.8905094769417,49.1139400825775,41.6701587502867,45.4126203031369,33.4496758610444,56.4179507493358
10,9.0,70.0951008196159,54.4006566211851,137.606030687803,47.9300640125734,80.8105747569946,43.0898813544088,56.1363386430319,109.544657010932,65.7414871893788,51.3854898420138,62.3474432219816,73.1795670995267,87.4705358183771,63.7500891600999,119.155723850416,44.4868149161052,52.8731371811168,49.5908457404574,62.921190582238,46.0058762454792,62.7316499073117,82.2676345781641,44.0037550388501,66.1260543170056,55.3471436460502,66.7785384986367,47.9757496648678,64.5389856318155,74.3204544562464,100.727863139747,28.3886538962782,52.6334012949416,42.0606962315386,43.3548376177386,40.0766516387321,69.2071066868728
11,9.08333333333333,65.1540830981299,57.1897696824869,129.106624336057,44.3840221742575,74.8496257357539,43.461751437096,53.4118627712119,106.623755732418,62.5884558793209,45.439354991165,57.9104864796777,74.6599427468784,81.3788892542963,57.0340428732179,115.772252309385,46.4149675779792,53.2984403202021,47.4752662778076,57.1238162468798,42.9830341859552,60.3554281639254,80.0288148977279,44.5325317591398,63.4143935897024,54.6079078973559,64.4036327949177,45.0408443385273,61.9018101120891,75.9434612785474,86.4896873237743,28.8415710154992,53.9862732883176,45.664869832011,42.223242015212,35.0194900962681,64.2641895610659
12,9.16666666666667,61.7433027060716,55.9703461869645,122.49735904684,45.5033131516293,70.0511958249427,42.3217227569484,54.7736107240077,109.815088423983,64.7695460312394,46.9591808435591,56.3587467324196,67.7082888470534,78.0590099507031,59.5511393892448,115.371509909609,44.5703086539198,51.5116732104841,47.2616057301379,59.9924484705529,41.3337147702361,61.6942247687898,78.9700882034749,42.5900972495552,61.8492251458224,52.2050733609445,62.6432250152141,44.5581091316259,62.1543242988167,72.0527410255729,99.4796294852709,28.13533962779,49.803551095629,43.6269128647979,45.0468339309157,35.3131990205891,60.5920001629563
13,9.25,60.4270399218445,51.1276736138663,134.47971031476,47.2587104496607,77.4368958160404,41.4315230809917,49.2408568552375,114.288884431996,66.8171921351088,47.9036957164292,61.3391672101176,74.2144377655253,79.4511180360981,57.6777040305039,111.007258478202,40.5464667198872,52.9043113636485,47.7015896414629,57.7832783608458,43.1456669227422,63.7344147814062,74.1595738387045,39.8929160591179,60.0068721615372,50.7512026189258,61.0407744949545,47.7967000440395,63.8859428769591,70.6036101741992,85.2817049092644,24.5838514623066,48.3726645808321,43.4476388913271,46.2271150186752,39.1185632203987,72.0740085065667
14,9.33333333333333,65.5544307736775,52.7546030596919,132.271846467227,44.5607181358981,71.6669743164465,41.6835406777767,53.5883023687234,113.555309895737,63.9010801142883,45.7246365292822,54.6503855803467,66.3505119125176,76.9372346638904,58.7397732412282,107.693259965406,41.1288300149552,51.9130264812708,45.3301469370067,56.0712213226737,41.8173732474436,61.2000066604408,76.716738979806,39.5784836710678,62.4011187240471,49.7763782700571,61.0021056642816,45.2938436421417,61.6927472077209,69.2258697051199,91.1698116895106,27.2276127444169,50.0473638527615,42.641756799655,40.9616138000799,34.5976111358417,61.2419303114275
15,9.41666666666667,68.3543050722562,56.0752671937971,131.416743131366,45.672590548801,76.3809398808258,42.3790943240546,56.3248820554693,118.98221483285,64.8128956459992,47.7113771290867,57.0919864837272,69.6557908878656,82.8644945300065,57.840206205377,117.84287804163,43.7035649042417,52.4309641533435,48.2303788596495,57.0318595023601,42.9528527505722,62.4226433921964,77.5859586539993,42.6876693944545,66.0810034678225,54.3437598094032,63.2870709970787,46.2200005276033,63.9158650271288,65.5623825093605,90.3177875665282,28.1192606795798,53.1151334026097,43.0783650354761,45.1319133632739,36.8293791359639,59.04830709524
16,9.5,62.8596204406337,53.5331055156915,114.732861929142,43.4440742281902,75.5163789735149,38.6902122373329,51.0546205795611,108.912228768269,62.054559955118,45.3605466902439,55.6098526899945,67.851882187859,80.1464604357536,56.9759367836467,107.235371060457,40.9450710252074,50.8337087988585,45.91671832294,55.3012219016666,42.9184934516636,59.5750766219125,74.2880435451737,39.2683852734919,59.8167443642688,51.4251628175959,59.2617393393444,46.840350810537,60.6445442955773,67.5408433087774,82.5170794913551,27.9445745651888,51.4396910137047,40.9807804676059,40.8453667678191,34.2647438876907,60.1937744365157
17,9.58333333333333,62.0620617447349,43.5884065419759,115.437401157505,38.1871042332989,64.9534432397698,39.286205108595,48.9206525640029,106.032422020953,61.8816028159011,39.4078957560964,49.3457662773134,59.9248648800501,72.416383172971,54.7008945817633,97.8382087258667,36.3246210036108,46.4406320462919,43.9894583142744,48.7123778064404,32.2452465233835,59.9893359146266,70.5753246116309,37.6456944106944,58.7187128572015,46.5240131138609,52.7717230912529,38.2467700035146,59.1144958926158,65.2541652000393,82.6054535834876,22.6194829175225,51.4025270004866,40.4030798614261,41.1053255134558,27.4944013616603,51.2845752242566
18,9.66666666666667,61.0324049085473,47.2962052895373,125.29082771193,41.1169552753297,69.6659491010168,39.3746539406209,51.1159122911274,107.465514043517,65.4310551977104,44.3073597388358,52.400694409808,64.4218539228474,74.5569555688985,54.5399028106592,105.54915722491,38.63066079161,49.7232942084606,44.235045702952,54.7260018274985,40.662694957859,62.4379133892684,70.1623058104906,38.9452132864436,59.1626193699622,50.7991857957561,60.912758756064,44.7905674087909,63.5096629309316,69.1891520068583,85.108780743464,25.6556420899692,50.9037156384366,41.4929657947398,40.2310664329156,33.1895345550214,56.0651749898286
