,mode,fstat_age_fdc,p,R2,fiber name
0,Mode11,63.7829094902397,0.0,0.161196300240144,AF
1,Mode3,97.5594769794462,0.0,0.138815556374296,AF
2,Mode6,51.5576551060081,0.0,0.130554916017325,AF
3,Mode2,82.2980396513177,0.0,0.107001505724236,AF
4,Mode8,190.574004323796,0.0,0.0979749076231841,AF
5,Mode34,86.924667478415,0.0,0.0760301351876812,AF
6,Mode1,143.691706001632,0.0,0.0754651063729363,AF
7,Mode17,136.860195555458,0.0,0.072135971667083,AF
8,Mode16,79.0913583709622,0.0,0.06081681756872,AF
9,Mode24,40.4051765704553,0.0,0.0602698336516508,AF
10,Mode18,18.6717226670795,0.0,0.0548213865409139,AF
11,Mode139,39.8717008584123,0.0,0.0511151266972765,AF
12,Mode10,78.4382275782911,0.0,0.0426561727369497,AF
13,Mode27,78.1415135019089,0.0,0.0424995350700729,AF
14,Mode29,22.7119580287518,0.0,0.0361001844730072,AF
15,Mode99,31.478405822922,0.0,0.0353997496741998,AF
16,Mode45,23.4610917711905,0.0,0.0343294913868631,AF
17,Mode19,9.64558639851942,0.0,0.0337433843327052,AF
18,Mode78,13.2223324774027,0.0,0.0334671202380716,AF
19,Mode14,56.0778187605193,0.0,0.0308790262498111,AF
20,Mode75,17.7399572491847,0.0,0.0301255862010872,AF
21,Mode68,52.4300451431807,0.0,0.0288532213899134,AF
22,Mode25,17.3601345390339,0.0,0.0274293843085696,AF
23,Mode69,48.4403032572184,0.0,0.0267512899617353,AF
24,Mode7,8.23431379038487,0.0,0.0266958067873403,AF
25,Mode83,19.1983911552777,0.0,0.0262160125631481,AF
26,Mode108,15.9737333701884,0.0,0.0253564256100006,AF
27,Mode77,18.4290207836733,0.0,0.0251324440832876,AF
28,Mode47,5.75465912737691,0.0,0.0239947918539374,AF
29,Mode76,43.2161797511064,0.0,0.0238927002941747,AF
30,Mode98,20.2853078745743,0.0,0.0234383483919755,AF
31,Mode37,41.5613450027681,0.0,0.0230036881711696,AF
32,Mode92,41.4053799707587,0.0,0.0229438279562554,AF
33,Mode15,17.1331449862086,0.0,0.0226555040114931,AF
34,Mode40,40.304419865349,0.0,0.0223804847258462,AF
35,Mode32,7.05117979892071,0.0,0.0222947545892143,AF
36,Mode63,37.9643956448018,0.0,0.0210532300169443,AF
37,Mode67,19.6834556009696,0.0,0.0195365447214179,AF
38,Mode194,15.7478607312432,0.0,0.0194951185997383,AF
39,Mode26,13.609164436881,0.0,0.0194379623420309,AF
40,Mode135,16.3139024518463,0.0,0.0187553397413512,AF
41,Mode143,33.280440114477,0.0,0.0185069321001149,AF
42,Mode39,32.3433103599801,0.0,0.0182611789292478,AF
43,Mode102,14.4087486492052,0.0,0.01788429890618,AF
44,Mode145,13.1377938049746,0.0,0.0176026260962479,AF
45,Mode9,9.94698888306452,0.0,0.0170886483122019,AF
46,Mode61,29.0517108302422,0.0,0.016172494071207,AF
47,Mode44,28.6661130977649,0.0,0.016134626042989,AF
48,Mode91,4.5739878976859,0.0,0.0159640718378588,AF
49,Mode48,16.0402892033189,0.0,0.0158722774983583,AF
50,Mode46,5.54377596665985,0.0,0.0156301695219819,AF
51,Mode60,8.68091688453408,0.0,0.015290003184285,AF
52,Mode142,11.821889802394,0.0,0.0138962804097385,AF
53,Mode103,11.8332310141098,0.0,0.0138645764464938,AF
54,Mode125,5.81088483235832,0.0,0.0137710195442168,AF
55,Mode38,24.4840303399042,0.0,0.0136786018429943,AF
56,Mode85,9.12431576694707,0.0,0.013210204320604,AF
57,Mode81,23.1842942502058,0.0,0.0132090223462392,AF
58,Mode133,18.9801197991841,0.0,0.0130697353032725,AF
59,Mode22,7.54467327127478,0.0,0.013061043225154,AF
60,Mode115,11.2528190356039,0.0,0.0125307315083304,AF
61,Mode163,21.9758348636723,0.0,0.0122898119743913,AF
62,Mode30,13.0248620393666,0.0,0.0121325227464989,AF
63,Mode170,15.5084352813159,0.0,0.0112773002240669,AF
64,Mode128,9.50121164154338,0.0,0.0112332229203329,AF
65,Mode158,8.98565772410624,0.0,0.01120099922038,AF
66,Mode100,6.65823075274146,0.0,0.0108010220078073,AF
67,Mode84,5.96676992729997,0.002,0.0107526223402667,AF
68,Mode62,19.1620738368562,0.0,0.0107385560669943,AF
69,Mode33,5.5073355631733,0.002,0.0105566095371053,AF
70,Mode64,17.9622706128072,0.0,0.010074459664905,AF
71,Mode148,17.7534382273631,0.0,0.0099427185907462,AF
72,Mode97,7.51345797187722,0.0,0.0096280476225293,AF
73,Mode13,16.6260956796627,0.0,0.0094678102593138,AF
74,Mode82,4.43419089157285,0.009,0.0091713602402218,AF
75,Mode53,3.84964104424775,0.016,0.0088281735503962,AF
76,Mode79,3.38219475460906,0.024,0.0086415741482257,AF
77,Mode111,3.94811538831273,0.015,0.0083407117626781,AF
78,Mode178,14.5542912114168,0.0,0.0082029963688964,AF
79,Mode181,14.4736160807255,0.0,0.0081248222889929,AF
80,Mode43,4.37378366420421,0.011,0.0081070859023981,AF
81,Mode110,14.3755549489892,0.0,0.0080774109491193,AF
82,Mode4,12.9587268320264,0.0,0.0080517838627323,AF
83,Mode59,10.6955210257809,0.002,0.0079433732993275,AF
84,Mode56,4.11963911554922,0.016,0.0074159315189694,AF
85,Mode191,13.1705418502774,0.0,0.0073980822489495,AF
86,Mode41,11.5837873178959,0.002,0.0065224950478362,AF
87,Mode5,3.12923328724754,0.038,0.006369411766346,AF
88,Mode42,4.06491693506385,0.021,0.0063508637038201,AF
89,Mode114,3.86403979526106,0.028,0.0060697235793599,AF
90,Mode57,10.665841994261,0.002,0.0060081492923787,AF
91,Mode72,10.3335755965233,0.002,0.0058224597103758,AF
92,Mode65,4.63217106944343,0.018,0.0058038607839786,AF
93,Mode49,8.90102964075668,0.007,0.0056875252170321,AF
94,Mode106,10.010212958008,0.005,0.0056477059952807,AF
95,Mode117,3.27780418831962,0.045,0.0053904012130417,AF
96,Mode23,2.61589380689614,0.082,0.0053676688435328,AF
97,Mode104,3.15208594582847,0.05,0.0053172738202842,AF
98,Mode20,8.23623094768987,0.007,0.0050970669531386,AF
99,Mode127,3.74619842355691,0.031,0.0050670136948328,AF
100,Mode58,2.64356765725485,0.081,0.0050512079431597,AF
101,Mode87,2.4353243224814,0.089,0.0047639312198127,AF
102,Mode80,8.3520657409863,0.009,0.0047471423132751,AF
103,Mode184,8.35680442524352,0.009,0.0047140882993829,AF
104,Mode109,8.27313238586817,0.009,0.0046597001974806,AF
105,Mode107,8.17783850664495,0.009,0.0046118637277969,AF
106,Mode193,2.15524158323751,0.111,0.0044315623631064,AF
107,Mode126,2.61011169867513,0.089,0.0044257315671934,AF
108,Mode88,4.94360452846917,0.045,0.0044179407362432,AF
109,Mode90,0.964271246114027,0.446,0.0043826581799787,AF
110,Mode93,3.31701632938206,0.048,0.0042764311207161,AF
111,Mode176,7.39428917883413,0.015,0.0041658030285145,AF
112,Mode73,7.28169171596794,0.015,0.0041037156088989,AF
113,Mode172,7.1922177461737,0.015,0.0040589021553823,AF
114,Mode168,3.33326287420308,0.05,0.0040104441904098,AF
115,Mode140,7.08916633883031,0.016,0.003999422268131,AF
116,Mode51,4.81998418549313,0.05,0.0039736175263427,AF
117,Mode105,1.92328347148651,0.142,0.0039708605343754,AF
118,Mode123,7.00372713766353,0.016,0.0039492586970129,AF
119,Mode71,3.43074666307172,0.084,0.0037416048730097,AF
120,Mode180,6.50887438483317,0.021,0.0036739606657808,AF
121,Mode146,6.42131786902284,0.021,0.0036193386381559,AF
122,Mode196,6.3716083552155,0.023,0.0035954856721833,AF
123,Mode86,3.75684748486606,0.085,0.0034850455960101,AF
124,Mode66,1.44350008155542,0.232,0.0033047019204346,AF
125,Mode171,1.58899893318714,0.21,0.0032556237853887,AF
126,Mode116,2.19080247410685,0.115,0.0031918109346832,AF
127,Mode122,5.585846932243,0.033,0.0031511249489458,AF
128,Mode54,5.55430200180604,0.034,0.0031363436002667,AF
129,Mode164,2.04839518362476,0.167,0.0031336909084805,AF
130,Mode74,1.8213759474883,0.233,0.0029515819388509,AF
131,Mode129,5.19994557706783,0.041,0.0029363533772247,AF
132,Mode12,1.93122836782057,0.188,0.0028822653598065,AF
133,Mode154,5.05487325871636,0.044,0.0028562500448141,AF
134,Mode89,2.6570716090199,0.159,0.0028512860553821,AF
135,Mode55,2.00913296084865,0.171,0.002769181922557,AF
136,Mode96,1.1305796500377,0.3,0.0027546626234235,AF
137,Mode147,1.64924793946486,0.199,0.0025767745247983,AF
138,Mode95,1.28959016317106,0.28,0.0025291436939666,AF
139,Mode131,1.33341393329216,0.296,0.0024861924192288,AF
140,Mode134,4.26880686384649,0.065,0.0024153600047732,AF
141,Mode188,4.20331554006916,0.066,0.0023731968836874,AF
142,Mode70,4.01524022598706,0.073,0.0022682782734373,AF
143,Mode169,3.70400400119669,0.085,0.002093188844002,AF
144,Mode175,1.18449619999086,0.27,0.0020069584138893,AF
145,Mode130,3.34282089433366,0.104,0.0018912331437953,AF
146,Mode199,3.10739497317691,0.116,0.0017625747592497,AF
147,Mode195,3.10853282540906,0.116,0.00175636380006,AF
148,Mode167,0.947014795160013,0.446,0.001733750120065,AF
149,Mode120,2.88775644304696,0.131,0.0016321093819689,AF
150,Mode186,2.87054306744562,0.132,0.0016224250858737,AF
151,Mode36,2.72476579423206,0.143,0.0015423921300724,AF
152,Mode197,0.794743426597844,0.424,0.0015154086801016,AF
153,Mode155,2.60816291142996,0.152,0.0014764389772021,AF
154,Mode121,2.53198500779711,0.159,0.0014726726735053,AF
155,Mode166,0.688696388178468,0.529,0.0013630504248503,AF
156,Mode132,0.706146864349295,0.526,0.0013521620246156,AF
157,Mode185,0.829800392488506,0.501,0.0013513042474417,AF
158,Mode190,2.29160577411228,0.18,0.0012986358055909,AF
159,Mode21,2.21973669202346,0.187,0.0012561309698103,AF
160,Mode165,2.06647133791536,0.199,0.0011985623468716,AF
161,Mode151,1.731788998339,0.246,0.0009813763769854,AF
162,Mode161,1.72523909272375,0.246,0.0009753499960855,AF
163,Mode152,1.69335857265482,0.248,0.0009595324581227,AF
164,Mode141,1.69451686963522,0.248,0.0009584943216041,AF
165,Mode159,1.67941468444745,0.249,0.0009539037794136,AF
166,Mode50,1.53265459182557,0.281,0.0009230107230608,AF
167,Mode157,0.534547887406661,0.656,0.0009168768355694,AF
168,Mode101,0.423125828700993,0.674,0.0008889299255231,AF
169,Mode136,1.50643324007052,0.277,0.000851980226722,AF
170,Mode198,1.39451059914094,0.294,0.0007898212074174,AF
171,Mode137,1.30791695052525,0.307,0.0007394399831171,AF
172,Mode177,0.688990430477748,0.648,0.0007098175211704,AF
173,Mode183,0.865172645041179,0.453,0.0005552769753638,AF
174,Mode182,0.914329737031596,0.41,0.0005187040162132,AF
175,Mode179,0.841268158986867,0.428,0.0004759072554468,AF
176,Mode112,0.742283096293597,0.453,0.0004213085740026,AF
177,Mode187,0.733166399892016,0.454,0.0004147436085911,AF
178,Mode94,0.704544483178488,0.461,0.000399303276071,AF
179,Mode52,0.633624801382452,0.487,0.000359121236436,AF
180,Mode35,0.535548590574001,0.526,0.0003038444217936,AF
181,Mode153,0.46153163689434,0.553,0.0002613576589686,AF
182,Mode118,0.412720523135984,0.576,0.0002336495013915,AF
183,Mode113,0.397778671314625,0.581,0.0002289744254943,AF
