interview_age,SmoothedValue,UpperCI,LowerCI,ModeName,Derivative,Curvature
21.83383234,55.3569395,56.32021449,54.3936645,Mode2,0.178246566,-0.045732907
21.91666667,55.37170443,56.3421449,54.40126396,Mode2,0.178246566,-0.045732907
8.083333333,127.2980065,130.3347361,124.2612768,Mode3,0.806174068,0.206752659
8.166167665,127.3647854,130.3777386,124.3518321,Mode3,0.806174069,0.206827431
8.249001996,127.4315642,130.4208788,124.4422496,Mode3,0.806174075,0.206795386
8.331836327,127.4983431,130.4641601,124.5325261,Mode3,0.806174087,0.206806067
8.414670659,127.565122,130.5075859,124.6226582,Mode3,0.806174114,0.137831545
8.49750499,127.6319009,130.5511595,124.7126424,Mode3,0.806174145,0.13786359
8.580339321,127.6986798,130.5948846,124.8024751,Mode3,0.806174188,0.068889068
8.663173653,127.7654587,130.6387648,124.8921527,Mode3,0.806174243,0.06896384
8.746007984,127.8322376,130.6828038,124.9816715,Mode3,0.806174313,0.068889068
8.828842315,127.8990165,130.7270055,125.0710276,Mode3,0.806174401,0.068878387
8.911676647,127.9657955,130.7713739,125.1602171,Mode3,0.8061745,0.206774022
8.994510978,128.0325744,130.8159128,125.249236,Mode3,0.806174625,0.206795386
9.077345309,128.0993533,130.8606266,125.3380801,Mode3,0.806174773,0.206827431
9.160179641,128.1661323,130.9055193,125.4267453,Mode3,0.806174943,0.206827431
9.243013972,128.2329113,130.9505954,125.5152271,Mode3,0.806175137,0.206816749
9.325848303,128.2996903,130.9958592,125.6035213,Mode3,0.806175357,0.206848794
9.408682635,128.3664693,131.0413153,125.6916232,Mode3,0.80617561,0.137874272
9.491516966,128.4332483,131.0869683,125.7795283,Mode3,0.806175883,0.137852909
9.574351297,128.5000273,131.132823,125.8672317,Mode3,0.806176185,0.068942477
9.657185629,128.5668064,131.1788841,125.9547287,Mode3,0.806176516,0.068953159
9.74001996,128.6335855,131.2251567,126.0420143,Mode3,0.806176877,0.068942477
9.822854291,128.7003647,131.2716458,126.1290835,Mode3,0.806177268,0.06889975
9.905688623,128.7671438,131.3183565,126.2159312,Mode3,0.806177683,0.206795386
9.988522954,128.833923,131.3652942,126.3025519,Mode3,0.806178137,0.206827431
10.07135729,128.9007023,131.4124641,126.3889405,Mode3,0.806178623,0.206827431
10.15419162,128.9674816,131.4598717,126.4750914,Mode3,0.806179141,0.206827431
10.23702595,129.0342609,131.5075227,126.5609991,Mode3,0.806179692,0.206827431
10.31986028,129.1010403,131.5554227,126.6466579,Mode3,0.806180276,0.206806067
10.40269461,129.1678197,131.6035774,126.7320621,Mode3,0.806180901,0.137874272
10.48552894,129.2345992,131.6519927,126.8172057,Mode3,0.806181548,0.137884954
10.56836327,129.3013788,131.7006747,126.9020828,Mode3,0.806182235,0.103403034
10.6511976,129.3681583,131.7496292,126.9866875,Mode3,0.80618295,0.172334829
10.73403194,129.434938,131.7988626,127.0710134,Mode3,0.806183701,0.172366874
