,AF,ATR,CG,CST,MLF,FPT,IFO,ILF,OR,POPT,SLF_I,SLF_II,SLF_III,STR,UF,T_PREF,T_PREM,T_PREC,T_POSTC,T_PAR,T_OCC,ST_FO,ST_PREF,ST_PREM,ST_PREC,ST_POSTC,ST_PAR,ST_OCC,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,pearson r
100307,0.9069774256205507,0.970279586300744,0.9009512590470757,0.9491158871972005,0.9426361033065993,0.945799332102747,0.9131077163892967,0.9466181779075264,0.941603974804902,0.918012983672008,0.9140162672918246,0.926338461877648,0.9467605413854081,0.9313829529907284,0.894646255327976,0.9525352105656198,0.9529146087076572,0.9516660412519755,0.9584300234660998,0.922784231633581,0.9422546121201343,0.9518147763673769,0.9476300635566759,0.9560914116394517,0.9550196098307696,0.9597750224410456,0.9241928848616411,0.9305190666932057,0.8755483661525733,0.9342135878021263,0.92773564051793,0.9371948822426677,0.9458989502195867,0.9392953963379304,0.875817278130543,0.9317638986450898,0.926048487118521
100408,0.9007121169574434,0.9545683421126095,0.9132619878352054,0.9410422001253567,0.9294392699685691,0.9114757894125655,0.924098443814852,0.9358911607803224,0.9490350429508477,0.9192905731623284,0.9377869753911183,0.931438493559437,0.945825672580212,0.9442130876904649,0.8915403902043201,0.9260486882605905,0.9388936190408178,0.9419714551108239,0.9555431369690112,0.9179736364171788,0.9476362950807276,0.9450060487835227,0.9172862356999959,0.9398380998371217,0.9449437540598942,0.9601128771923687,0.9326856579592228,0.9400835505376349,0.8762015278560628,0.9026384483391201,0.907008350616728,0.9281430315224327,0.9368613075565111,0.933693821947379,0.8688612953508607,0.9316031537863882,0.9280057057070249
100610,0.9149350480331895,0.9523375879706352,0.9198833301542605,0.9405366949916265,0.933086008557922,0.9007393235680464,0.9088918739866991,0.9545728830102076,0.9372060758520442,0.9185602525493862,0.9234412670620201,0.9375977641280108,0.9559295751169634,0.9263704521766818,0.8670125660913848,0.9073327968759534,0.93756632567331,0.9305669463099344,0.9641737891595081,0.9242882079731544,0.9379672926341781,0.9416324843181095,0.8953137319975415,0.944479044045808,0.93664192231294,0.9649676407261473,0.9320030725754926,0.9346654488236394,0.8388870449388831,0.940888890433882,0.886921708168765,0.9345766460316298,0.9179350700973653,0.9348190776729517,0.8754054032917677,0.9298819521111398,0.9201244102624045
101006,0.9060693780040865,0.9505255066628724,0.9121340465269393,0.9264723691760967,0.9254596996671769,0.9078213109976326,0.9169338241164805,0.9370467303688909,0.9285893114999171,0.9150295875656831,0.9258681595736642,0.9060129606100872,0.9457236967975975,0.9354879928874049,0.9072399660761978,0.9224003928927489,0.903832906096682,0.9238546548022566,0.9461030869045749,0.9273521589108086,0.9304716259027396,0.951570813325192,0.9137146437369621,0.9260113173053617,0.9352153855441095,0.9515000483617437,0.9357147898881396,0.9264346241732314,0.859170003709351,0.935683112145226,0.893848287367994,0.9068469995169842,0.9330809078313965,0.9401369706539321,0.8736482708442099,0.9324806889905949,0.932337513675994
101107,0.9131195612254452,0.9635198946949594,0.9278144840344646,0.953948846588912,0.9315516342943077,0.9097991042459297,0.9283338900826128,0.951334841202093,0.9572628258072884,0.9420179987751952,0.9254048001378482,0.9308025894068057,0.9476342696350286,0.9489370296990673,0.8859020304884528,0.9300650959708664,0.9468388822996534,0.9539680684088507,0.9644862563185526,0.9386033828356345,0.9571318161845769,0.9460500909644632,0.9222429691188603,0.9414039872676877,0.9561458789919234,0.9651516766981633,0.9420474350390613,0.9528207116414644,0.8689020424818836,0.9270190561709645,0.9190137659244207,0.9188955191725081,0.9472161531831472,0.9484858903857185,0.8729046888367831,0.9447217071564528,0.934997536547922
101309,0.9086891236502413,0.9564499896470522,0.9001756382093746,0.9471573155138869,0.9309050035113353,0.924273016727265,0.8977838959673725,0.9255093336317167,0.9346141180235316,0.9069746722821309,0.9186738137627584,0.9208918016474852,0.9387652782762341,0.9214822237373602,0.8697560591401458,0.9348644791965789,0.9304458692450215,0.9400332193618144,0.9476964264202705,0.9166548978145899,0.9339324951194665,0.9164136150686032,0.9222647477002731,0.9315528237200911,0.9457275098763747,0.9530441223095906,0.9327854684806044,0.9217351673040011,0.8744937427062534,0.9012584323183166,0.8796404976656986,0.918542314817232,0.9440214646439578,0.9388844895026143,0.8723401602359434,0.9283061368330718,0.9312167000320951
101915,0.9100133741537026,0.9600459401527469,0.9005853401165892,0.9515170358964425,0.9388628280289157,0.9413600398745028,0.9098723304950831,0.9249678425474724,0.948394900459594,0.9295860309256564,0.9310780216233547,0.9441110205944846,0.9568056617010584,0.9506715195276932,0.9078940856390583,0.9431516651336604,0.9418009266495015,0.9491946173428684,0.9587956756783658,0.9374043493891666,0.9472106611270535,0.9576944497717225,0.9425348258545462,0.9443702414885987,0.9488946972062274,0.9612488263838908,0.9382262218488773,0.9308843305768866,0.8828677081010547,0.9504625973180917,0.9183189190163389,0.9320716061165814,0.951172272929768,0.9402763398606032,0.8939239537788864,0.9247375221841889,0.914002874049735
102008,0.9051279984242033,0.9663856745769007,0.9140120256483618,0.9428598520516405,0.9180801920755481,0.9095875707141631,0.9283005273766426,0.9401000696621467,0.9621016415315544,0.9331182602180764,0.924466930348124,0.9348627181552533,0.9427187163330139,0.9241753418484766,0.8876468378105937,0.9191932167666998,0.9445750344854519,0.9400511396039871,0.9615806412081761,0.933513900962561,0.9629269908385582,0.9374129959571416,0.9149407615914471,0.9372870982714282,0.9455086388899139,0.9578748099307026,0.9375791256937991,0.9534212677680184,0.837093334207013,0.9122776431049979,0.9035024508590368,0.917372670874761,0.9165529474814843,0.937460302717654,0.8649234660513828,0.9304396299738867,0.9329991499699412
102109,0.8390147849221778,0.9583701316215377,0.9014746098663806,0.9491504017039999,0.9083409208768453,0.9238782841213529,0.9150527231823499,0.9434025304180844,0.958087228255572,0.9258765480762988,0.9241780209311118,0.9339534949413729,0.9312875977504032,0.9243315458322798,0.8683621672128102,0.9414818459792562,0.9408229559457026,0.9407078299291347,0.961352968934998,0.9297261628688379,0.9587271816363905,0.9280260324762927,0.9345849961463174,0.9431767127939695,0.9382224761433259,0.95759682540621,0.9317175878479482,0.9448514254470751,0.814542160992045,0.9167167284249473,0.9307264001410267,0.9398021220767138,0.9425630890117791,0.9495533148941929,0.8583530045646172,0.9360590619456579,0.929303744219254
102311,0.8872920948261972,0.9620903597993036,0.899485613483681,0.9486660669336505,0.9202377486836938,0.947665787846565,0.9019124206998413,0.946812131056186,0.9444195088077016,0.9199921628958291,0.92862759435359,0.9341807755639345,0.9428932696862318,0.9439197568082938,0.870481720211109,0.9482767596564492,0.94281514150201,0.956622835126638,0.9613107619996293,0.9165604141308722,0.9466061590792568,0.9102088027460936,0.9380376805148603,0.9455478249977729,0.959209646802849,0.9638681091307678,0.921752537127644,0.9389874071544985,0.8475056385920864,0.9407528953147208,0.8988202810445998,0.9308547175162624,0.9445072398212319,0.9430084655229144,0.8641548498808268,0.9238891679693725,0.92551818880198
102513,0.909647709003994,0.9646266671283804,0.9258575430379772,0.9372030027895789,0.9257488953725302,0.9283279671088812,0.9157645166634835,0.931750975696627,0.9496078946357395,0.9183014839589027,0.9162621587271867,0.9401518032958787,0.9428656211348894,0.9023113955923071,0.8455091769888592,0.937889192724989,0.9445125098398279,0.9332601308773681,0.954792448406356,0.9227577949897031,0.949952215724875,0.9130100521620147,0.9313944074333577,0.9452937019249336,0.9414361144762343,0.9588598088076267,0.9328823112310515,0.9434915710492604,0.8456653925462867,0.92953224546991,0.9092080740805546,0.931924871176546,0.9370305900183625,0.9071484741476868,0.8451215785885079,0.9450452699762086,0.9280728286107023
102614,0.9259832484245213,0.9503562726285093,0.919657280406383,0.9457849694793301,0.9382602484776098,0.9337371661613978,0.9083984848491442,0.9520240154655137,0.915099961437933,0.9114451172746058,0.9265449291904215,0.9320144321268908,0.9529408980528836,0.9243077573161185,0.8763933925701919,0.9195654602227598,0.9485994944903477,0.9461993619725475,0.9489163510577,0.9317222447717846,0.9147938645462035,0.9273097410337354,0.9141480607097203,0.9512073376430926,0.9495640490766722,0.9579968921519492,0.9356704223232084,0.9265189725853245,0.8768144019865405,0.9392980694594846,0.9031881777621726,0.9364381056121268,0.9337363218295333,0.9273258865555293,0.8628016546831717,0.9280832258592779,0.9236862018797091
